fe,num_examples,baseline.fn,fn+exemplars,fn+exemplars+siblings,fn+exemplars+srl
Emotion_directed;Topic,1,0,0,0,0
Employing;Employee,1,1,1,0,1
Encoding;Manner,1,1,1,1,1
Encoding;Message,1,0,0,0,0
Estimated_value;Cognizer,1,0,0,0,0
Estimated_value;Estimation,1,0,0,0,0
Estimated_value;Question,2,0,0,0,0
Estimating;Estimation,2,0,0,0,0
Evaluative_comparison;Profiled_item,2,0,0.666666666666667,0.666666666666667,0.666666666666667
Evaluative_comparison;Standard_attribute,1,0,0,0,0
Evaluative_comparison;Standard_item,1,0,0,0,0
Event;Event,13,0.769230769230769,0.769230769230769,0.769230769230769,0.846153846153846
Event;Reason,1,0,0,0,0
Event;Time,8,0.2,0,0,0
Evidence;Means,1,0,0,0,0
Evidence;Proposition,12,0.818181818181818,0.8,0.8,0.75
Evidence;Support,9,0.421052631578947,0.352941176470588,0.352941176470588,0.333333333333333
Execution;Executed,1,0,1,1,1
Execution;Reason,1,0,0,1,0
Exertive_force;Entity,3,0.5,0.8,1,1
